concept1,concept2,score,grounded_angle_7d,in_complement_band
ABIDING,CLEAN,11.345287322998047,73.9,True
UP,SLOW,11.2142972946167,87.6,True
END,ENDURE,11.148077011108398,70.7,True
ACCEPT,POSITION,10.594598770141602,66.2,True
ABOVE,PEACE,9.960163116455078,78.5,True
WAIT,ACCOMMODATE,9.292675018310547,20.2,False
WATER,FEEL,9.266809463500977,76.7,True
AWARENESS,DAWN,9.25594425201416,48.9,False
CLARITY,WAIT,9.10597038269043,51.6,False
HONOR,ADMIRATION,9.075714111328125,16.7,False
ABOVE,SYNERGY,9.070655822753906,48.3,False
GROW,YAWN,9.064155578613281,24.3,False
TIME,SHAME,9.010171890258789,72.2,True
LOVE,ACCEPT,8.821229934692383,15.9,False
FORGET,EVIDENT,8.795818328857422,35.2,False
HEAVY,MEEK,8.73775863647461,56.0,False
BODY,CHARACTER,8.697787284851074,39.8,False
MONOPOLIZE,QUALITY_ATTR,8.671194076538086,24.5,False
WILL,COMPASSION,8.651826858520508,26.9,False
SLOW,COAX,8.630226135253906,40.2,False
WAIT,DECAY,8.551541328430176,21.7,False
WAIT,HINT,8.55108642578125,28.4,False
THERE,ABYSS,8.546503067016602,72.3,True
CLARITY,MOMENT,8.526313781738281,51.2,False
THINK,FALL,8.506182670593262,73.8,True
ABSORB,COMMAND,8.488073348999023,63.9,True
EARTH,COMBINE,8.484659194946289,69.9,True
SOFT,CLARITY,8.424171447753906,79.9,True
CHANGE,PROHIBIT,8.407190322875977,49.4,False
ACCEPT,SPATIAL,8.386800765991211,63.9,True
THREAT,WITNESS,8.382651329040527,70.4,True
BECOMES,TRANSFORMATION,8.348877906799316,24.5,False
SEEK,SURFACE,8.333517074584961,17.3,False
ABSORB,PERMEATE,8.319906234741211,27.0,False
BEING,GREET,8.303348541259766,40.2,False
CLARITY,AIM,8.30095100402832,37.1,False
REFUSE,DEVICE,8.297828674316406,52.2,False
FOUNDATION,ERUPT,8.290165901184082,85.5,True
ABOVE,TENDER,8.289972305297852,72.8,True
FULL,ALTHOUGH,8.22077751159668,49.6,False
ABOVE,RETREAT,8.204513549804688,73.1,True
SLOW,WITH,8.187126159667969,75.8,True
NOW,MIND,8.175457000732422,57.6,False
JOURNEY,VISIBLE,8.175167083740234,52.1,False
INCEPTION,SOLSTICE,8.165993690490723,28.8,False
MEDITATE,ABYSS,8.123982429504395,20.3,False
REST,PERSUADE,8.116273880004883,58.3,False
IMAGINE,JOURNEY,8.101634979248047,37.5,False
HAPPINESS,FEELING,8.033357620239258,21.3,False
SOLID,TRAP,8.02933406829834,54.8,False
HEAD,MORAL,8.017293930053711,29.1,False
MOVE,LANGUAGE,7.991470813751221,37.7,False
NURTURE,CARRY,7.980015754699707,53.3,False
AWARENESS,SHARE,7.972192764282227,43.8,False
PEACE,CONTROL,7.956491470336914,44.7,False
RIVAL,MIRROR,7.952292442321777,51.0,False
PERSIST,CHAT,7.93896484375,71.9,True
ACCEPT,CHANCE,7.931975364685059,48.4,False
MEANING,LEVEL,7.926514625549316,53.6,False
NOW,SPREAD,7.923434257507324,53.5,False
TIME,MILD,7.921268463134766,37.9,False
UNSTABLE,INSIGHT,7.920914649963379,53.2,False
DIRECTION,MANNER,7.917513370513916,42.9,False
SUBCONSCIOUS,STIMULATE,7.91560697555542,55.1,False
TASTE,COPPER,7.915219306945801,49.2,False
TRUTH,PENTAGON,7.905928611755371,60.0,True
BIG,AGREE,7.8972272872924805,56.3,False
RISE,NEVER,7.891310691833496,72.1,True
MAKE,NATURE,7.889843940734863,55.4,False
ABOVE,WAIT,7.871788024902344,79.0,True
SEPARATION,NARROW,7.870059967041016,47.5,False
AGREE,SIDE,7.862393379211426,61.4,True
DOUBT,WAIT,7.859764575958252,39.3,False
CLARITY,EACH,7.858311653137207,50.5,False
FOOD,HAND,7.842565536499023,20.8,False
JOY,FORCE,7.84242582321167,41.4,False
TAKE,MIST,7.8423051834106445,28.0,False
LEFT,ACCEPT,7.840167999267578,52.5,False
LEAD,COMPLY,7.83209228515625,49.0,False
CALM,CLARITY,7.826210975646973,65.3,True
MORE,FLAT,7.81630802154541,33.0,False
SLOW,RISE,7.812767028808594,59.2,False
BEGIN,CONVERSATION,7.802455902099609,32.1,False
WHO,FREE,7.789839744567871,79.5,True
ABYSS,DRIZZLE,7.77703857421875,47.6,False
MOTION,ANIMAL,7.775551795959473,28.2,False
CHOOSE,REST,7.775411605834961,63.8,True
JUSTICE,SEDIMENT_LAYER,7.770401954650879,57.6,False
ABYSS,MOUTH,7.770076751708984,63.1,True
FORCE,THING,7.765246391296387,45.2,False
PAST,WOULD,7.753752708435059,64.8,True
LIGHT,IMPORTANT,7.751619338989258,55.4,False
I,GLOOMY,7.7416534423828125,58.4,False
INSIDE,FUNDAMENTAL,7.73936653137207,56.7,False
ACCEPT,PURPOSE,7.732494354248047,35.3,False
JOY,RESILIENCE,7.728446006774902,67.6,True
SAND,EXISTENCE,7.726480960845947,54.9,False
AIR,FEAR,7.722248077392578,73.9,True
DARK,ABYSS,7.721911430358887,59.9,False
FOOLISH,SCHOOL,7.721064567565918,53.6,False
ABOVE,SPREAD,7.707019329071045,66.8,True
MOMENT,CLEAR,7.704678535461426,57.8,False
PASSIVE,FEELING,7.680846214294434,52.9,False
FLUID,KNOWN,7.675915718078613,52.9,False
PERSIST,DANCE,7.669824600219727,78.9,True
TEACH,DEPTH,7.65286922454834,53.0,False
TEACH,FORCE,7.65147066116333,40.2,False
