concept1,concept2,proposed_type,decision,final_type,reason
TRIUMPH,FAIL,complement,accept,complement,true polar pair victory/failure-to-achieve; core 94.7 in band; ds .98
SADNESS,DELIGHT,complement,accept,complement,valence polar pair; core 86.3; ds 1.00
ABOVE,SLOW,complement,reject,,"hub artifact (ABOVE deg 91, 11x in CSV); unrelated"
ABOVE,ANXIETY,complement,reject,,hub artifact; ds .06
DISSOLVE,EMERGE,complement,accept,complement,vanish/arise axis (merge-into-medium vs arise-from-concealment); core 79.7
JOY,SADNESS,complement,accept,complement,canonical emotional poles - genuine gap in graph; core 83.4; ds .99
ANXIETY,WILL,complement,accept,complement,"future-stance poles: apprehension vs volition, both descriptions explicitly future-oriented; core 80.2; medium confidence"
WATER,MUST,complement,reject,,modal degenerate; semantics nil despite 7D in-band
ABOVE,DIRECTION,complement,retype,affinity,hub node but genuinely semantic: ABOVE is a direction (hyponym); 17.6 in affinity band
BUILD,PATH,complement,reject,,"related imagery only, not polar; 68.0 outside affinity band"
SORROW,EUPHORIA,complement,accept,complement,valence poles; core 84.5; ds .99
SEEK,REFUSE,complement,retype,opposition,priority item but ENFORCED core angle is 128.5 (CSV 76.3 was 7D) - outside complement band; reach-toward vs push-away polarity; ds .92 passes opposition gates
FEEL,CLARITY,complement,reject,,sensing vs understanding - no kinship on dictionary terms
ABOVE,ACCOMMODATE,complement,reject,,hub artifact; ds .46
UP,ALERT,complement,reject,,English idiom (up=awake); ds .28 different domains
SEE,FAITH,complement,accept,complement,perception vs trust-beyond-evidence (walk by faith not by sight); core 100.5
GREET,HOARD,complement,reject,,arbitrary pairing; no shared axis
ACCEPT,SADNESS,complement,reject,,medicine-adjacent (Oracle 90-deg search) but not a lexical polar pair
SLOW,AWAKEN,complement,reject,,not poles (slow/fast; wake/sleep)
SUCCEED,LOSS,complement,accept,complement,achievement poles; core 95.1; both under-connected (deg 2/2)
SLOW,EXPRESS,complement,reject,,no true semantic relation on the dictionary's own terms
DARK,FREE,complement,reject,,not opposites (dark/light; free/bound) despite 159.1
BECOMES,PERMANENT,complement,reject,,semantically opposed but core 40.7 supports neither complement nor opposition; BECOMING-ABIDING is the canonical axis; don't force
BAD,GRATITUDE,complement,reject,,not a pair (bad/good; gratitude/resentment)
LIGHT,SWAY,complement,reject,,no true semantic relation on the dictionary's own terms
MORE,SCARCITY,complement,reject,,diagonal: MORE-LESS exists at 84.8; ABUNDANCE-DEFICIT accepted this pass
EDGE,OBEY,complement,reject,,no true semantic relation on the dictionary's own terms
JUMP,HIBERNATE,complement,reject,,cross-specific diagonal (jump/land; hibernate/wake)
HOME,DAY,complement,reject,,no true semantic relation on the dictionary's own terms
PERMEATE,EXISTENCE,complement,reject,,no true semantic relation on the dictionary's own terms
ABSORB,ACCESSIBLE,complement,reject,,hub artifact (ABSORB deg 43)
JOY,CALM,complement,reject,,"kin positive states, not a spanning pair; complement reserved for poles"
SOMETIMES,STRONG,complement,reject,,function-word degenerate
IN,BETWEEN,complement,reject,,spatial function words; not poles (in/out)
ABUNDANCE,DEFICIT,complement,accept,complement,supply poles; SS12-named family; core 91.9
THAT,AT,complement,reject,,function-word degenerate
SORROW,PLAY,complement,reject,,diagonal (sorrow/joy; play/work)
GRIEF,CONTENT,complement,reject,,diagonal; GRIEF-ELATION accepted instead
CREATE,MOURN,complement,reject,,no true semantic relation on the dictionary's own terms
FREEDOM,CAUSE,complement,reject,,free-will/determinism is thesis-level; CAUSE's axis is EFFECT
ABIDING,THINK,complement,reject,,hub artifact (ABIDING deg 81); ds .00
