concept1,concept2,score,grounded_angle_7d,in_complement_band
TRIUMPH,FAIL,9.31587028503418,57.1,False
SADNESS,DELIGHT,9.079025268554688,58.4,False
ABOVE,SLOW,9.077146530151367,80.0,True
ABOVE,ANXIETY,8.956998825073242,83.7,True
DISSOLVE,EMERGE,8.945486068725586,53.1,False
JOY,SADNESS,8.914094924926758,58.7,False
ANXIETY,WILL,8.84946060180664,55.9,False
WATER,MUST,8.83648681640625,90.6,True
ABOVE,DIRECTION,8.761969566345215,28.2,False
BUILD,PATH,8.68086051940918,40.8,False
SORROW,EUPHORIA,8.616640090942383,57.9,False
SEEK,REFUSE,8.606910705566406,76.3,True
FEEL,CLARITY,8.59569263458252,20.6,False
ABOVE,ACCOMMODATE,8.578817367553711,78.9,True
UP,ALERT,8.535272598266602,56.8,False
SEE,FAITH,8.463043212890625,60.8,True
GREET,HOARD,8.436599731445312,52.7,False
ACCEPT,SADNESS,8.42809009552002,53.4,False
SLOW,AWAKEN,8.424083709716797,60.5,True
SUCCEED,LOSS,8.374288558959961,55.0,False
SLOW,EXPRESS,8.329617500305176,75.6,True
DARK,FREE,8.320075035095215,89.5,True
BECOMES,PERMANENT,8.294475555419922,34.4,False
BAD,GRATITUDE,8.293530464172363,57.2,False
LIGHT,SWAY,8.292623519897461,62.9,True
MORE,SCARCITY,8.285318374633789,55.7,False
EDGE,OBEY,8.263330459594727,60.1,True
JUMP,HIBERNATE,8.24046516418457,54.6,False
HOME,DAY,8.232922554016113,68.4,True
PERMEATE,EXISTENCE,8.221128463745117,52.8,False
ABSORB,ACCESSIBLE,8.213888168334961,49.1,False
JOY,CALM,8.21058464050293,59.2,False
SOMETIMES,STRONG,8.208826065063477,64.5,True
IN,BETWEEN,8.197467803955078,72.2,True
ABUNDANCE,DEFICIT,8.194408416748047,57.2,False
THAT,AT,8.181462287902832,53.9,False
SORROW,PLAY,8.179769515991211,54.7,False
GRIEF,CONTENT,8.16392993927002,48.8,False
CREATE,MOURN,8.158477783203125,58.5,False
FREEDOM,CAUSE,8.152326583862305,46.1,False
ABIDING,THINK,8.118061065673828,87.2,True
RIGHT,OVER,8.115675926208496,63.2,True
UNITY,POSITION,8.115135192871094,30.4,False
AND,DEPTH,8.114988327026367,68.0,True
ABIDING,ASCENDING,8.112214088439941,83.6,True
DISMAY,BLISS,8.102813720703125,59.9,False
HAPPINESS,ENDURE,8.100830078125,74.0,True
AIR,ABSORB,8.099884033203125,68.5,True
SADNESS,BLISS,8.098079681396484,61.3,True
FALL,OBSCURE,8.093145370483398,35.9,False
CALM,ABYSS,8.090078353881836,44.8,False
