concept1,concept2,score,grounded_angle_7d,in_complement_band
TIME,ABYSS,11.602762222290039,80.7,True
OBSCURE,EMERGE,10.763745307922363,64.7,True
TIME,VIGOR,10.186531066894531,48.1,False
DARK,EMERGE,10.09373664855957,64.1,True
SLOW,ERODE,9.889961242675781,20.1,False
BEING,DOUBT,9.779743194580078,44.9,False
THIS,NONE,9.67854118347168,94.7,True
HOLD,SPARK,9.637748718261719,52.3,False
THIS,TRUTH,9.609309196472168,69.4,True
WILL,INTELLIGENCE,9.59504508972168,29.9,False
KNOW,WHERE,9.532188415527344,75.7,True
RECEIVE,ABYSS,9.46743392944336,58.7,False
COLD,SOFT,9.384407997131348,47.7,False
BECOME,EMERGE,9.337233543395996,22.4,False
SHAME,PART,9.333166122436523,40.9,False
ABOVE,COMPANION,9.298446655273438,51.3,False
SADNESS,MEEK,9.269464492797852,36.5,False
UNITY,ABYSS,9.266374588012695,30.8,False
LEARN,ENDURE,9.186990737915039,50.4,False
UNDERSTAND,INTELLIGENCE,9.146394729614258,35.2,False
CLARITY,ESSENCE,9.073997497558594,56.1,False
GROW,LESS,9.00197982788086,32.1,False
NOW,FORGET,8.978598594665527,37.3,False
HEAVY,ANIMAL,8.977087020874023,63.1,True
SEPARATION,NATURE,8.946540832519531,48.0,False
AIR,SHOULD,8.936199188232422,34.3,False
ABIDING,HOW,8.916879653930664,54.7,False
YANG,FIND,8.899589538574219,31.8,False
WITHER,DECAY,8.879181861877441,10.9,False
PEACE,GRASP,8.825828552246094,47.1,False
ALERT,DORMANT,8.821828842163086,89.3,True
SLOW,ALL,8.816766738891602,89.9,True
SMALL,DREAD,8.797122955322266,54.7,False
YANG,ANIMAL,8.792499542236328,40.8,False
SMALL,FREE,8.744894027709961,80.6,True
THINK,DEPLETE,8.739797592163086,61.6,True
SURGE,STAGNATION,8.732595443725586,80.9,True
SORROW,HARD,8.723461151123047,77.8,True
RIGHT,INSIGHT,8.711305618286133,72.3,True
CREATE,GROUP,8.707415580749512,62.5,True
FEEL,ACCEPT,8.704931259155273,20.0,False
FOOD,BAKE,8.703521728515625,19.5,False
SORROW,TRUTH,8.6936674118042,91.3,True
AWE,KNOWLEDGE,8.646858215332031,41.3,False
ACCEPT,STRONG,8.605010986328125,37.3,False
EARTH,SADNESS,8.602682113647461,52.7,False
ABIDING,DESTROY,8.599806785583496,43.0,False
ACCOMMODATE,ENJOYMENT,8.562858581542969,55.8,False
FUTURE,ABSORB,8.524628639221191,56.1,False
ABIDING,WHERE,8.497625350952148,59.8,False
RELEASE,AWAKEN,8.49748420715332,75.4,True
PART,GLEEFUL,8.489912033081055,63.7,True
DELIGHT,EMERGE,8.4862060546875,30.9,False
UNDERSTAND,WILL,8.466913223266602,49.4,False
KNOW,DELIGHT,8.455638885498047,50.3,False
CONTAIN,DEJECTION,8.454614639282227,41.0,False
SEPARATION,STRUCTURE,8.436132431030273,68.6,True
SHAME,POWER,8.409809112548828,100.9,True
EMPTY,HEAR,8.40252685546875,35.0,False
GRIEF,STEADY,8.3948392868042,55.1,False
VIGOR,EVENING,8.392666816711426,52.4,False
PEACE,WANT,8.386655807495117,60.0,False
WILL,ACTION,8.376789093017578,14.5,False
JUSTICE,COMMUNITY,8.366670608520508,40.2,False
THAT,FLOW,8.357440948486328,40.5,False
DREAD,MEEK,8.352506637573242,40.8,False
ABOVE,TAKE,8.348912239074707,71.3,True
PATH,MIDDLE,8.342967987060547,43.4,False
CLARITY,ALTHOUGH,8.333375930786133,27.0,False
RETREAT,TOWER,8.316428184509277,64.9,True
WATER,FORGIVE,8.296802520751953,78.5,True
ABIDING,CONSTRAINT,8.292928695678711,37.7,False
CLARITY,NECESSITY,8.291316986083984,34.6,False
STABLE,FREE,8.274579048156738,54.1,False
DARK,DAWN,8.267082214355469,62.0,True
LIGHT,MORAL,8.24874496459961,37.5,False
DESPAIR,FAITH,8.242993354797363,46.5,False
REFUSE,SICKNESS,8.235530853271484,58.1,False
ACTIVE,DAY,8.230867385864258,22.7,False
SMALL,BREAK,8.223112106323242,44.9,False
WHO,CONCEAL,8.222827911376953,39.5,False
SUBMERGE,FOOD,8.219996452331543,59.0,False
RIGHT,VIRTUE,8.216719627380371,83.4,True
ABOVE,ZERO,8.202726364135742,99.2,True
MIGHT,FORCE,8.18387222290039,42.1,False
DIMINISH,VALUE,8.178579330444336,52.6,False
SPACE,STRUCTURE,8.172682762145996,54.6,False
HOPE,POWER,8.165678977966309,39.1,False
